year,RW,tree,core,sp_elev,sampleid
1975,3.79,32,B,sylvestris_med,PM32B
1975,1.81,33,A,sylvestris_med,PM33A
1975,1.69,33,C,sylvestris_med,PM33C
1975,3.42,34,01,sylvestris_med,PM3401
1975,4.08,35,01,sylvestris_med,PM3501
1975,5.42,35,02,sylvestris_med,PM3502
1975,1.28,36,A,sylvestris_med,PM36A
1975,1.97,36,B,sylvestris_med,PM36B
1975,3.47,37,A,sylvestris_med,PM37A
1975,3.06,37,B,sylvestris_med,PM37B
1975,3.02,38,01,sylvestris_med,PM3801
1975,1.97,39,A,sylvestris_med,PM39A
1975,2.08,39,B,sylvestris_med,PM39B
1975,2.29,40,02,sylvestris_med,PM4002
1975,4.15,41,01,sylvestris_med,PM4101
1975,4.27,41,02,sylvestris_med,PM4102
1975,4.76,42,A,sylvestris_med,PM42A
1975,4.1,42,B,sylvestris_med,PM42B
1975,4.52,43,02,sylvestris_med,PM4302
1976,5.24,1,01,sylvestris_med,PM0101
1976,5.33,1,02,sylvestris_med,PM0102
1976,3.73,2,A,sylvestris_med,PM02A
1976,3.66,2,B,sylvestris_med,PM02B
1976,3.65,2,C,sylvestris_med,PM02C
1976,2.24,3,A,sylvestris_med,PM03A
1976,2.2,3,B,sylvestris_med,PM03B
1976,2.79,5,A,sylvestris_med,PM05A
1976,3.76,5,B,sylvestris_med,PM05B
1976,4.05,6,01,sylvestris_med,PM0601
1976,4.09,6,02,sylvestris_med,PM0602
1976,8.32,7,A,sylvestris_med,PM07A
1976,6.63,7,B,sylvestris_med,PM07B
1976,5.73,8,01,sylvestris_med,PM0801
1976,4.69,8,02,sylvestris_med,PM0802
1976,2.3,9,C,sylvestris_med,PM09C
1976,2.2,9,E,sylvestris_med,PM09E
1976,3.28,10,A,sylvestris_med,PM10A
1976,3.6,10,C,sylvestris_med,PM10C
1976,4.19,11,A,sylvestris_med,PM11A
1976,3.82,11,C,sylvestris_med,PM11C
1976,1.99,12,A,sylvestris_med,PM12A
1976,3.22,12,C,sylvestris_med,PM12C
1976,3.72,13,A,sylvestris_med,PM13A
1976,4.04,13,B,sylvestris_med,PM13B
1976,3.85,14,01,sylvestris_med,PM1401
1976,3.92,14,02,sylvestris_med,PM1402
