Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
214000	0.3330151	-233.6425	
215000	0.3330151	-233.6425	
216000	0.3246897	-233.6425	
217000	0.3246897	-233.6425	
218000	0.3165724	-233.6425	
219000	0.3165724	-233.6425	
219432.3	0.3165724	-233.6385	
220000	0.3086581	-233.6385	
221000	0.3086581	-233.6385	
222000	0.3009417	-233.6385	
223000	0.3009417	-233.6385	
224000	0.2934181	-233.6385	
225000	0.2934181	-233.6385	
226000	0.2860827	-233.6385	
227000	0.2860827	-233.6385	
228000	0.2789306	-233.6385	
229000	0.2789306	-233.6385	
230000	0.2719574	-233.6385	
231000	0.2719574	-233.6385	
232000	0.2651584	-233.6385	
233000	0.2651584	-233.6385	
234000	0.2585295	-233.6385	
235000	0.2585295	-233.6385	
236000	0.2520662	-233.6385	
237000	0.2520662	-233.6385	
238000	0.2457646	-233.6385	
239000	0.2457646	-233.6385	
240000	0.2396205	-233.6385	
241000	0.2396205	-233.6385	
242000	0.2336299	-233.6385	
243000	0.2336299	-233.6385	
244000	0.2277892	-233.6385	
245000	0.2277892	-233.6385	
246000	0.2220945	-233.6385	
247000	0.2220945	-233.6385	
248000	0.2165421	-233.6385	
249000	0.2165421	-233.6385	
250000	0.2111286	-233.6385	
251000	0.2111286	-233.6385	
252000	0.2058503	-233.6385	
253000	0.2058503	-233.6385	
254000	0.2007041	-233.6385	
255000	0.2007041	-233.6385	
256000	0.1956865	-233.6385	
257000	0.1956865	-233.6385	
258000	0.1907943	-233.6385	
259000	0.1907943	-233.6385	
260000	0.1860245	-233.6385	
261000	0.1860245	-233.6385	
262000	0.1813738	-233.6385	
263000	0.1813738	-233.6385	
264000	0.1768395	-233.6385	
265000	0.1768395	-233.6385	
266000	0.1724185	-233.6385	
267000	0.1724185	-233.6385	
268000	0.168108	-233.6385	
269000	0.168108	-233.6385	
270000	0.1639053	-233.6385	
271000	0.1639053	-233.6385	
272000	0.1598077	-233.6385	
273000	0.1598077	-233.6385	
274000	0.1558125	-233.6385	
275000	0.1558125	-233.6385	
276000	0.1519172	-233.6385	
277000	0.1519172	-233.6385	
278000	0.1481193	-233.6385	
279000	0.1481193	-233.6385	
280000	0.1444163	-233.6385	
280422.3	0.1444163	-233.6353	
281000	0.1444163	-233.6353	
282000	0.1408059	-233.6353	
283000	0.1408059	-233.6353	
284000	0.1372857	-233.6353	
285000	0.1372857	-233.6353	
286000	0.1338536	-233.6353	
287000	0.1338536	-233.6353	
288000	0.1305073	-233.6353	
289000	0.1305073	-233.6353	
290000	0.1272446	-233.6353	
291000	0.1272446	-233.6353	
292000	0.1240635	-233.6353	
293000	0.1240635	-233.6353	
294000	0.1209619	-233.6353	
295000	0.1209619	-233.6353	
296000	0.1179378	-233.6353	
296441.5	0.1179378	-233.6353	
296442.2	0.1179378	-233.6348	
297000	0.1179378	-233.6348	
298000	0.1149894	-233.6348	
298509.8	0.1149894	-233.6341	
299000	0.1149894	-233.6341	
3e+05	0.1121146	-233.6341	
301000	0.1121146	-233.6341	
302000	0.1093118	-233.6341	
303000	0.1093118	-233.6341	
304000	0.106579	-233.6341	
305000	0.106579	-233.6341	
306000	0.1039145	-233.6341	
307000	0.1039145	-233.6341	
308000	0.1013167	-233.6341	
309000	0.1013167	-233.6341	
310000	0.09878373	-233.6341	
311000	0.09878373	-233.6341	
312000	0.09631414	-233.6341	
313000	0.09631414	-233.6341	
314000	0.09390629	-233.6341	
315000	0.09390629	-233.6341	
315897.5	0.09390629	-233.6339	
316000	0.09155863	-233.6339	
317000	0.09155863	-233.6339	
318000	0.08926966	-233.6339	
319000	0.08926966	-233.6339	
320000	0.08703792	-233.6339	
321000	0.08703792	-233.6339	
322000	0.08486197	-233.6339	
323000	0.08486197	-233.6339	
324000	0.08274043	-233.6339	
325000	0.08274043	-233.6339	
326000	0.08067191	-233.6339	
326027.5	0.08067191	-233.6326	
327000	0.08067191	-233.6326	
328000	0.07865512	-233.6326	
329000	0.07865512	-233.6326	
330000	0.07668874	-233.6326	
331000	0.07668874	-233.6326	
332000	0.07477152	-233.6326	
333000	0.07477152	-233.6326	
334000	0.07290223	-233.6326	
335000	0.07290223	-233.6326	
336000	0.07107968	-233.6326	
337000	0.07107968	-233.6326	
338000	0.06930268	-233.6326	
339000	0.06930268	-233.6326	
340000	0.06757012	-233.6326	
341000	0.06757012	-233.6326	
342000	0.06588086	-233.6326	
343000	0.06588086	-233.6326	
344000	0.06423384	-233.6326	
345000	0.06423384	-233.6326	
346000	0.062628	-233.6326	
347000	0.062628	-233.6326	
348000	0.0610623	-233.6326	
349000	0.0610623	-233.6326	
350000	0.05953574	-233.6326	
351000	0.05953574	-233.6326	
352000	0.05804735	-233.6326	
353000	0.05804735	-233.6326	
354000	0.05659616	-233.6326	
355000	0.05659616	-233.6326	
