Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.772	5	477.787	477.544	0.9992032	0.4438469	
Model:	mcombrat1
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9989342	0.3396376	1	5.974334	0	1	0.1784971	
OTmed	5	5	5.9	17.88067	5	20	12	
Tb	0.4737757	0.3439185	0.6052478	1.13003	0.01	5	4.99	
Popt	906.9227	300	1000	3731.501	300	1000	700	
Pb	1.341546	0.4292949	5	4.661097	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Popt	Pb
MR	35.69267	-104.6436	6.159699	-3616.85	-2.027249	
OTmed	-104.6436	319.7183	-19.65852	12444.07	9.288544	
Tb	6.159699	-19.65852	1.276969	-593.6363	-0.6192679	
Popt	-3616.85	12444.07	-593.6363	13924100	15938.32	
Pb	-2.027249	9.288544	-0.6192679	15938.32	21.72582	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2014	pinaster	high	pinaster_high	0.197504	385.2	10.75392	P. pinaster	0.2206407	
2015	pinaster	high	pinaster_high	0.2710632	295.9	11.31034	P. pinaster	0.1598028	
2016	pinaster	high	pinaster_high	0.1525367	444.8	10.71864	P. pinaster	0.23756	
2017	pinaster	high	pinaster_high	0.1960562	231.9	11.61003	P. pinaster	0.1226262	
2018	pinaster	high	pinaster_high	0.3262517	506.9	10.01994	P. pinaster	0.3099104	
2019	pinaster	high	pinaster_high	0.138568	279.3	11.08017	P. pinaster	0.1658216	
2020	pinaster	high	pinaster_high	0.2202332	318.8	11.42356	P. pinaster	0.1611513	
2001	nigra	low	nigra_low	0.1085746	359	12.07944	P. nigra	0.1390695	
2002	nigra	low	nigra_low	0.1229677	336.2	11.90305	P. nigra	0.1422116	
2003	nigra	low	nigra_low	0.1445175	350.7	11.48727	P. nigra	0.166447	
2004	nigra	low	nigra_low	0.127417	340.7	11.36707	P. nigra	0.1703585	
2005	nigra	low	nigra_low	0.04128587	143.3	11.44162	P. nigra	0.08429957	
2006	nigra	low	nigra_low	0.09253699	355.1	11.5831	P. nigra	0.1624347	
2007	nigra	low	nigra_low	0.09946053	322.9	11.09165	P. nigra	0.180606	
2008	nigra	low	nigra_low	0.0596355	297.7	10.91769	P. nigra	0.1818923	
2009	nigra	low	nigra_low	0.1932361	458.8	12.02929	P. nigra	0.1577286	
2010	nigra	low	nigra_low	0.2550653	572.6	11.21354	P. nigra	0.2202572	
2011	nigra	low	nigra_low	0.237985	302.1	11.43551	P. nigra	0.1554668	
2012	nigra	low	nigra_low	0.07283805	288.3	11.72606	P. nigra	0.1374677	
2013	nigra	low	nigra_low	0.1092085	335.8	10.77581	P. nigra	0.2041906	
2014	nigra	low	nigra_low	0.06899374	270.5	11.70423	P. nigra	0.1327869	
2015	nigra	low	nigra_low	0.09069465	228.8	12.07968	P. nigra	0.1042257	
2016	nigra	low	nigra_low	0.04204381	323.4	11.67049	P. nigra	0.1500351	
2017	nigra	low	nigra_low	0.1004605	201.1	12.4234	P. nigra	0.08402978	
2018	nigra	low	nigra_low	0.0970911	452.6	10.83334	P. nigra	0.2306275	
2019	nigra	low	nigra_low	0.06027039	256.5	11.95002	P. nigra	0.118218	
2020	nigra	low	nigra_low	0.1406959	322.7	12.1936	P. nigra	0.1264397	
2021	nigra	low	nigra_low	0.1143764	203.9	12.11509	P. nigra	0.09398938	
2001	nigra	medium	nigra_medium	0.07969127	358.8	11.77294	P. nigra	0.1535788	
2002	nigra	medium	nigra_medium	0.0690587	335.6	11.61888	P. nigra	0.155773	
2003	nigra	medium	nigra_medium	0.09859162	351.5	11.17159	P. nigra	0.184456	
2004	nigra	medium	nigra_medium	0.06142529	346.2	11.03588	P. nigra	0.191098	
